id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,average_amount_personal_contribution,size_category,control,degree_urbanization,state,size,total_enrollment,percent_women,percent_men,percent_native_american,percent_asian_pacific_islander,percent_asian,percent_pacific_islander,percent_african_american,percent_hispanic,percent_white,percent_race_ethnicity_unknown,percent_nonresident_alien,percent_multiracial,total_students,type,degree_granting,percent_under_18,percent_men_under_18,percent_women_under_18,percent_18_to_19,percent_men_18_to_19,percent_women_18_to_19,percent_20_to_21,percent_men_20_to_21,percent_women_20_to_21,percent_22_to_24,percent_men_22_to_24,percent_women_22_to_24,percent_25_to_29,percent_men_25_to_29,percent_women_25_to_29,percent_30_to_34,percent_men_30_to_34,percent_women_30_to_34,percent_35_to_39,percent_men_35_to_39,percent_women_35_to_39,percent_40_to_49,percent_men_40_to_49,percent_women_40_to_49,percent_50_to_64,percent_men_50_to_64,percent_women_50_to_64,percent_65_over,percent_men_65_over,percent_women_65_over,percent_age_unknown,percent_men_age_unknown,percent_women_age_unknown
193070,Mesivtha Tifereth Jerusalem of America,5488,0,12533.33333,7045.333333,Under 1-000,Private not-for-profit,Large,New York,999,93,0,100,0,0,0,0,0,0,97,0,3,0,93,private,yes,2,2,0,27,27,0,31,31,0,8,8,0,12,12,0,8,8,0,4,4,0,3,3,0,-1,-1,-1,-1,-1,-1,1,1,0
197692,Yeshiva Shaar Hatorah,5734,0,15850,10116,Under 1-000,Private not-for-profit,Large,New York,999,94,0,100,0,0,0,0,0,0,100,0,0,0,94,private,yes,8,8,0,19,19,0,54,54,0,9,9,0,6,6,0,1,1,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1
431983,Yeshiva of the Telshe Alumni,9250,0,16500,7250,Under 1-000,Private not-for-profit,Large,New York,999,96,0,100,0,0,0,0,0,0,97,0,3,0,96,private,yes,23,23,0,44,44,0,31,31,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219505,American Baptist College,2578,3484,17018,10956,Under 1-000,Private not-for-profit,Large,Tennessee,999,103,26,73.78640777,0,0,0,0,97,0,3,0,0,0,103,private,yes,2,1,0,4,4,0,9,9,0,7,6,0,7,5,1,13,8,4,18,14,3,29,18,10,3,1,1,0,0,0,0,0,0
164614,Boston Baptist College,5022,6378,28345.66667,16945.66667,Under 1-000,Private not-for-profit,Large,Massachusetts,999,103,48,52.42718447,0,1,1,0,7,4,85,0,3,0,103,private,yes,1,1,0,21,10,10,33,16,16,17,11,5,7,3,3,2,0,1,-1,-1,-1,1,0,1,2,0,1,-1,-1,-1,10,5,4
466189,National American University-Colorado Springs South,2425,9503,21699.5,9771.5,Under 1-000,Private for-profit,Large,Colorado,999,103,75,25.24271845,5,5,2,3,17,14,54,2,0,4,103,for-profit,yes,-1,-1,-1,0,0,0,4,1,2,9,2,6,21,3,17,26,7,18,9,1,7,16,3,12,2,0,2,-1,-1,-1,7,2,4
197610,Yeshivat Mikdash Melech,7857,0,17663.33333,9806.333333,Under 1-000,Private not-for-profit,Large,New York,999,106,0,100,0,0,0,0,0,0,98,0,2,0,106,private,yes,0,0,0,45,45,0,15,15,0,13,13,0,18,18,0,2,2,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1
466930,Chamberlain College of Nursing-Texas,0,0,28868.5,28868.5,Under 1-000,Private for-profit,Large,Texas,999,113,90,9.734513274,0,6,6,0,46,12,21,15,0,0,113,for-profit,yes,-1,-1,-1,3,0,3,10,0,10,18,1,16,23,2,21,17,2,15,9,1,7,14,0,13,1,0,1,-1,-1,-1,-1,-1,-1
405854,Rabbinical College of Ohr Shimon Yisroel,7999,0,18866.66667,10867.66667,Under 1-000,Private not-for-profit,Large,New York,999,118,0,100,0,0,0,0,0,0,100,0,0,0,118,private,yes,27,27,0,48,48,0,20,20,0,4,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216311,Talmudical Yeshiva of Philadelphia,8687,0,17900,9213,Under 1-000,Private not-for-profit,Large,Pennsylvania,999,118,0,100,0,0,0,0,0,0,97,0,3,0,118,private,yes,7,7,0,61,61,0,30,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
443340,Williamson Christian College,5295,4720,20135,10120,Under 1-000,Private not-for-profit,Small,Tennessee,999,118,47,53.38983051,1,41,41,0,4,3,51,0,0,0,118,private,yes,-1,-1,-1,4,0,3,8,5,3,11,8,3,18,10,8,17,11,6,10,5,5,16,7,9,11,5,6,-1,-1,-1,-1,-1,-1
