id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
110510,California State University-San Bernardino,79,71,10214,63,5543,63,4845,56,785,51,2294,59,4488,40,4681,40,4650,0,4333
110529,California State Polytechnic University-Pomona,63,50,8679,40,4914,39,4372,38,732,39,2536,35,3956,37,5162,37,4859,1,9055
110538,California State University-Chico,63,49,9200,38,5364,37,4489,37,941,36,2458,36,4437,43,5081,42,4702,2,10137
110547,California State University-Dominguez Hills,87,78,8941,74,4802,74,4760,3,882,46,2046,60,4224,34,3620,34,3601,0,4932
110556,California State University-Fresno,75,67,9813,54,5503,54,4761,51,796,53,2351,53,4343,29,4919,29,4709,1,9898
110565,California State University-Fullerton,58,45,9345,38,5095,38,4365,38,741,35,2545,35,3958,26,4853,26,4655,1,8355
110574,California State University-East Bay,62,50,9862,43,5586,43,4433,40,1260,33,2353,38,4450,36,5455,36,5326,1,11029
110583,California State University-Long Beach,69,57,9751,47,5435,47,4674,46,794,44,2557,41,4505,37,4890,37,4704,1,8816
110592,California State University-Los Angeles,77,71,10013,67,5424,67,4728,58,802,42,2303,57,4408,23,3696,22,3564,0,10050
110608,California State University-Northridge,71,60,10225,55,5616,55,4789,53,866,40,2104,51,4356,37,4921,37,4778,1,10586
110617,California State University-Sacramento,71,57,10012,49,5334,49,4603,47,772,45,2465,41,4878,38,5205,38,5037,1,10650
110635,University of California-Berkeley,66,56,15272,30,5243,27,4571,26,1415,24,10230,53,8506,29,5401,29,5039,1,14796
110662,University of California-Los Angeles,71,61,15117,35,5085,32,4499,30,1147,30,10201,58,7649,38,5649,38,5150,1,16402
110671,University of California-Riverside,86,79,16156,57,5804,57,4505,57,1364,52,8761,73,6592,59,4769,59,4603,1,13247
110680,University of California-San Diego,75,68,15325,48,5677,47,4661,47,1116,45,9881,61,5271,53,5003,53,4695,5,3426
110714,University of California-Santa Cruz,73,64,16552,42,5378,42,4476,41,995,40,6530,62,9215,57,5506,56,5280,1,16711
110918,California Christian College,50,50,5750,50,5750,50,5550,50,200,0,,0,,50,5000,50,5000,0,
111188,California Maritime Academy,63,39,7841,25,5315,25,4459,25,878,26,3500,19,4303,53,6320,52,5985,2,11500
111948,Chapman University,86,80,23339,18,6695,18,4457,17,2369,11,9394,80,20482,75,6500,75,5843,4,13232
112075,Concordia University-Irvine,98,98,14561,37,5199,37,4088,33,1243,29,7804,97,10405,74,6979,74,5491,7,15485
112570,Columbia College Hollywood,70,35,6928,28,4308,28,4162,28,146,22,5334,4,750,70,7372,67,5994,7,16693
113582,Design Institute of San Diego,75,50,6688,50,6300,50,5563,50,738,13,1551,0,,75,8121,75,8121,0,
113607,DeVry University-California,96,90,6597,80,4881,80,4509,27,1131,17,5515,42,2526,90,8256,90,8112,3,4429
113698,Dominican University of California,99,99,21826,36,5970,36,4398,32,1747,30,8753,99,17034,79,8529,78,6216,10,18776
114813,Fresno Pacific University,100,100,17321,55,5270,55,4494,48,896,55,7401,99,10402,70,7198,70,5017,49,3100
115728,Holy Names University,99,99,21821,58,5295,57,4850,29,1055,44,5848,98,16286,93,7079,93,6179,8,10401
115773,Humphreys College-Stockton and Modesto Campuses,97,89,5513,88,4791,88,4660,13,875,11,6550,1,1500,96,6313,96,6313,0,
116846,American Jewish University,88,88,10379,28,4089,28,3589,28,500,4,9708,88,8636,36,5667,36,5667,0,
117113,The Art Institute of California-San Diego,91,75,6474,68,5129,67,4501,37,1245,18,4968,40,1196,79,8047,79,7132,5,13479
117557,Lincoln University,42,42,5610,42,5500,42,5500,0,,0,,4,1095,42,6700,42,6700,0,
117627,La Sierra University,100,100,14203,75,3434,52,4304,43,862,38,6876,99,9140,82,6161,75,5712,6,11493
117928,The Art Institute of California-San Francisco,95,78,6192,68,4862,68,4475,28,936,21,4526,33,1879,89,8505,89,7139,7,18049
117946,Loyola Marymount University,93,86,19447,18,5792,18,4157,16,1852,15,9505,84,16935,53,7187,52,5247,30,3549
118888,Mills College,97,96,25400,41,5841,41,4569,39,1336,38,9030,95,19401,78,6167,78,5727,4,8751
119173,Mount St. Mary's College,98,98,19104,67,5213,67,4689,11,3276,59,7448,98,11093,96,9206,96,8096,10,11166
119544,The National Hispanic University,89,75,5976,75,4925,75,4848,14,418,25,3133,5,100,38,4273,38,4273,0,
119775,Newschool of Architecture and Design,95,85,9534,75,5809,75,5136,45,1122,35,6411,75,2004,85,7158,85,5393,10,15000
120254,Occidental College,78,74,27845,25,6769,25,4132,25,2656,18,9297,74,23463,56,6188,46,4192,32,4818
120403,Otis College of Art and Design,81,81,13600,44,5014,44,4523,16,1346,30,6838,80,8381,65,7093,63,5490,5,23700
120537,Hope International University,98,98,14015,86,3059,52,4368,34,1048,27,7113,98,9402,90,6103,86,6189,5,4569
120838,Pacific States University,0,0,,0,,0,,0,,0,,0,,0,,0,,0,
120883,University of the Pacific,94,92,20377,39,5800,35,4440,39,1818,26,9133,92,15342,67,6896,67,6896,0,
121071,Patten University,100,100,7034,88,3888,83,3954,4,2563,4,1551,96,3722,96,6581,96,5950,8,7250
121309,Point Loma Nazarene University,93,84,12677,28,6051,27,3983,24,2577,21,7342,80,9107,67,6775,67,5395,7,14082
121381,Westwood College-South Bay,100,97,7777,97,6384,97,5902,88,530,15,3160,46,1865,98,12371,96,11836,49,1583
121691,University of Redlands,93,92,25611,30,6459,30,4070,30,2438,34,8323,92,20566,70,6757,56,4036,63,3907
122409,San Diego State University,60,42,9418,29,5661,29,4872,28,824,34,2860,25,5361,36,5494,35,4993,2,11529
122436,University of San Diego,76,72,20671,17,4717,16,3654,16,1305,11,9481,72,18184,48,7038,47,5511,13,6067
122454,San Francisco Art Institute,97,97,13402,36,5353,36,4252,34,1145,10,7157,97,10736,84,5658,79,5095,4,16537
122506,San Francisco Conservatory of Music,100,100,19185,32,4794,32,3789,32,1006,15,8349,98,16855,76,6765,73,5857,5,17000
122597,San Francisco State University,63,46,9498,39,5336,39,4366,37,1026,29,2427,35,4412,43,5272,43,5000,1,12282
122612,University of San Francisco,75,70,23694,31,5402,31,4084,28,1438,23,9397,67,19155,56,7170,56,5718,4,19784
122755,San Jose State University,57,42,9863,38,5401,38,4448,37,1008,26,2364,33,4453,35,4878,35,4878,0,
122843,Westwood College-Los Angeles,100,87,5925,86,5184,86,4737,52,746,9,4273,20,1507,94,5208,86,3897,61,2496
122931,Santa Clara University,88,87,19396,16,5520,16,4201,15,1373,15,9119,87,16883,46,6471,46,5306,3,18263
123280,Shasta Bible College and Graduate School,100,100,4621,60,4059,60,3617,40,663,20,5621,50,2124,10,3500,10,3500,0,
123651,Vanguard University of Southern California,97,97,17557,43,5095,43,4206,36,1058,28,8015,95,13157,76,7690,76,6579,7,11289
123952,Southern California Institute of Architecture,20,15,22067,15,3733,10,5275,5,650,0,,10,27500,20,3500,20,3500,0,
123961,University of Southern California,75,62,27941,18,5336,18,4369,17,1064,12,9613,61,24811,63,6127,63,5603,2,15217
125231,Walden University,83,72,3740,72,3620,72,3620,0,,0,,6,1560,78,7091,78,7091,0,
125897,Woodbury University,73,73,17405,44,4230,44,3990,9,1200,39,7682,73,10681,70,4559,70,4559,0,
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,80,78,14256,59,5923,59,5411,43,712,44,9708,74,4405,0,,0,,0,
126562,University of Colorado Denver,69,53,6382,34,4707,34,4299,14,972,33,984,42,3549,38,5576,37,5146,2,9118
126580,University of Colorado-Colorado Springs,75,58,4671,29,4671,29,4028,18,1025,27,1204,42,2494,45,5230,44,5020,2,8177
126614,University of Colorado Boulder,58,39,8971,17,6413,16,4171,16,2710,15,1272,37,5860,38,7025,38,5240,4,20375
126678,Colorado College,58,50,28432,13,5513,12,4067,12,1832,6,1897,49,27026,30,4808,30,4356,1,20605
126702,The Art Institute of Colorado,86,72,4614,49,4143,49,4006,6,1114,16,1156,52,2101,77,9961,77,6671,14,18560
126818,Colorado State University-Fort Collins,73,46,6406,23,5326,23,4035,22,1375,23,1357,42,3386,47,5851,46,5186,3,11926
126827,Colorado Technical University-Colorado Springs,70,57,4158,53,3727,53,3500,17,704,12,1481,7,3206,51,7078,51,6959,1,10000
127060,University of Denver,85,83,18915,27,3347,17,4174,10,1978,10,1963,83,17706,41,6660,41,6653,0,8500
127556,Colorado Mesa University,87,66,4418,43,4230,43,4069,6,1244,26,1394,30,2450,64,8614,63,8289,3,8388
127565,Metropolitan State College of Denver,67,47,4940,39,4240,39,4022,12,711,39,1026,12,1889,45,5299,44,5167,2,6838
127653,Naropa University,82,68,15756,50,4400,50,3816,34,854,0,,68,12540,82,6556,82,6556,0,
127680,National American University-Colorado Springs,67,56,3860,56,3860,56,2360,11,7500,0,,0,,44,6586,44,6586,0,
127714,Nazarene Bible College,100,75,3767,75,3267,75,3017,25,750,0,,50,750,100,4901,100,4901,0,
127741,University of Northern Colorado,91,78,5564,34,4527,34,4088,14,1051,23,2003,74,3160,65,5712,65,5279,3,9014
127918,Regis University,95,91,16453,30,6817,30,4271,25,3057,25,5085,89,13266,57,6962,56,6430,2,14691
128106,Colorado State University-Pueblo,95,73,5745,51,5074,51,4325,44,862,41,1732,29,3110,68,6857,68,6531,2,9559
128425,Yeshiva Toras Chaim Talmudical Seminary,88,88,10334,0,,0,,0,,0,,88,10334,0,,0,,0,
128498,Albertus Magnus College,97,90,17149,55,5387,55,4393,47,1167,61,6844,81,10242,93,7153,93,5920,10,11485
128744,University of Bridgeport,98,98,18780,64,5911,63,4711,58,1340,26,2292,98,14338,82,8151,82,6875,9,12212
128902,Connecticut College,51,44,31601,13,6125,13,4152,13,2037,10,3659,43,29355,41,5762,40,4890,2,17754
129525,University of Hartford,98,98,15999,28,4972,28,4015,20,1377,14,3831,98,14008,79,9339,78,5488,19,16116
129774,Mitchell College,96,95,14899,37,4705,37,3905,27,1083,40,3573,95,11564,82,6797,82,5255,10,13183
130314,Saint Joseph College,100,100,16952,37,4910,37,3904,36,1031,55,3120,99,13545,87,6666,87,5634,8,11409
130493,Southern Connecticut State University,81,56,7060,34,4887,34,4134,23,1117,44,4178,8,5679,70,6178,70,5858,2,10632
130590,Trinity College,44,39,37088,14,6332,13,4291,13,2204,6,5602,38,34257,35,4921,31,4280,6,7691
130624,United States Coast Guard Academy,0,0,,0,,0,,0,,0,,0,,0,,0,,0,
130697,Wesleyan University,51,42,34487,16,6645,16,4364,16,2359,6,2542,41,32292,34,4552,33,3828,2,13698
130776,Western Connecticut State University,77,58,4977,43,3055,31,3860,12,952,47,3073,2,6767,67,6443,66,5677,6,9305
130794,Yale University,66,61,36366,13,6940,13,4255,9,3827,12,1558,59,35700,9,5803,8,4591,1,12992
130934,Delaware State University,97,89,7222,60,4629,59,4280,24,925,32,2667,57,4895,84,7433,84,6393,7,12290
131098,Wesley College,100,100,3312,61,2031,54,2216,15,307,6,1437,94,2113,95,8628,88,7356,7,24733
131159,American University,80,73,20525,16,5452,15,4057,15,1553,4,655,71,19776,56,8184,56,5897,7,19529
131283,Catholic University of America,94,92,15348,12,5669,12,3713,11,2180,4,506,91,14762,62,7749,62,5300,9,17878
131308,Corcoran College of Art and Design,100,100,16586,33,3928,33,3390,22,807,2,2070,100,15239,96,11515,96,5188,96,6327
131399,University of the District of Columbia,73,72,2876,66,2286,59,2511,8,562,7,739,15,3266,21,2620,21,2620,0,
131450,Gallaudet University,94,93,16449,59,4680,59,4317,40,526,66,9654,91,6918,33,5071,33,5071,0,
131469,George Washington University,73,71,27832,15,5387,13,3978,15,1755,3,891,71,26776,49,6675,49,5970,2,15958
131496,Georgetown University,58,51,29964,18,6491,14,4204,18,3187,3,926,49,28770,31,5247,30,3907,2,18268
131520,Howard University,90,68,13356,44,4867,43,4383,23,978,4,1233,53,13020,70,7361,69,6423,5,15049
131803,Strayer University-District of Columbia,65,65,1923,29,3089,29,3014,6,376,0,,53,635,18,7521,18,7521,0,
131876,Trinity Washington University,99,99,14172,80,5519,80,4737,60,1049,43,2978,99,8411,81,6334,81,6167,1,9095
132602,Bethune-Cookman University,99,96,9655,83,5101,83,4582,79,558,65,3333,51,5626,95,6587,95,6278,4,8253
132657,Lynn University,79,79,12667,17,5267,17,4302,12,1368,21,3410,77,10965,33,6162,33,5086,12,3195
133085,Clearwater Christian College,99,99,9297,49,4890,49,4288,30,990,51,4517,99,4528,62,5731,62,4920,5,10073
133492,Eckerd College,96,94,17752,21,5596,21,4029,19,1787,17,5135,94,15681,59,6896,59,5934,6,9993
133526,Edward Waters College,99,96,9121,83,5403,83,5012,24,1343,67,3005,40,5644,83,6019,83,6019,0,
133553,Embry-Riddle Aeronautical University-Daytona Beach,92,91,9386,30,4448,30,4009,10,1245,24,4294,89,6964,66,8863,65,5509,11,20440
133650,Florida Agricultural and Mechanical University,99,98,6657,75,5191,75,4574,41,1115,43,2873,25,5926,80,5856,79,5840,1,7550
133669,Florida Atlantic University,91,86,6260,38,6093,38,5269,34,935,77,2863,31,2764,36,6451,36,5879,2,10723
133872,Florida Hospital College of Health Sciences,96,92,6593,77,3934,77,3454,54,683,81,3565,8,1383,56,6180,56,6180,0,
133881,Florida Institute of Technology,97,97,18766,30,7229,28,4392,27,3341,38,5336,97,14505,66,7646,55,5611,11,17639
134079,Florida Southern College,99,98,16073,37,4990,37,4320,28,885,59,5179,80,13669,67,11150,67,10544,6,7522
134097,Florida State University,96,95,5506,28,5707,28,4777,26,995,91,3080,36,2361,37,6765,37,6598,1,7165
134130,University of Florida,99,98,6497,31,5961,29,4905,30,1504,95,3497,32,3729,25,4984,25,4744,1,7924
134811,AI Miami International University of Art and Design,93,86,5578,69,5215,69,4712,42,855,46,1153,55,1215,87,7988,87,7424,4,11871
134945,Jacksonville University,100,100,19418,52,4402,47,4519,9,2105,62,4778,99,14231,86,11520,85,6265,33,13943
135063,Jones College-Jacksonville,100,100,6785,100,5251,100,5001,83,300,17,6379,25,1887,92,6809,92,6809,0,
136172,University of North Florida,94,93,6082,30,5093,30,4432,24,927,88,2683,44,3972,32,5124,32,4952,1,6506
136206,Northwood University-Florida,94,93,12491,40,4864,40,4105,30,1028,33,3290,93,9231,53,6430,52,5634,3,16747
136330,Palm Beach Atlantic University-West Palm Beach,100,100,14232,37,4315,37,3915,12,1207,56,3877,100,10509,65,6380,65,5825,4,8930
136774,Ringling College of Art and Design,85,77,8760,28,5133,28,3928,25,1326,39,4015,62,6047,67,8508,61,5551,10,23174
137351,University of South Florida-Main Campus,99,97,7286,43,6140,42,5151,38,1186,93,3174,53,2827,47,6620,47,6429,1,8784
137564,Southeastern University,95,93,9657,45,4330,45,3952,24,860,60,4014,84,5529,70,10701,69,10334,3,10096
137777,Talmudic College of Florida,100,86,13406,79,5745,79,4927,21,3000,0,,86,8139,36,4440,36,4440,0,
137847,The University of Tampa,96,96,10146,25,5251,24,4012,21,1531,29,4395,94,7582,57,6755,57,5684,5,12235
137953,Trinity Baptist College,98,98,6261,74,4209,74,4209,0,,22,2651,91,2687,63,4329,63,4329,0,
138354,The University of West Florida,92,86,5383,37,5491,36,4732,34,916,76,2775,24,2150,40,4949,39,4786,1,7513
138716,Albany State University,98,88,7064,82,5565,82,4882,71,786,29,4985,7,2874,83,6207,83,5579,8,6400
138789,Armstrong Atlantic State University,89,78,6834,44,4677,44,4434,13,857,56,5367,6,4011,56,5202,55,4959,2,8605
138813,The Art Institute of Atlanta,100,97,6407,78,5311,78,4805,45,884,60,1241,70,1857,91,7688,91,7483,2,10937
138947,Clark Atlanta University,97,82,7297,75,5024,75,4437,29,1649,17,2239,24,7505,90,7704,90,6683,7,14180
138983,Augusta State University,77,77,5730,43,4511,43,4435,3,964,46,4770,12,2243,44,6014,43,6002,1,6613
139153,Beulah Heights University,100,66,7143,66,4762,66,4762,0,,0,,31,5000,100,9000,100,9000,0,
139199,Brenau University,100,100,17577,56,5117,55,4224,47,1111,87,3537,96,12172,90,4359,90,4227,2,7179
139366,Columbus State University,89,79,6827,50,5089,50,4605,26,1007,47,5291,11,3113,53,5709,53,5547,1,7315
139579,South University-Savannah,100,98,5898,93,5039,90,4525,73,805,80,756,13,3635,85,7895,85,7529,1,26000
139755,Georgia Institute of Technology-Main Campus,82,78,10946,19,5668,17,5018,18,1243,62,9222,29,5995,30,6502,30,5920,3,6506
139940,Georgia State University,93,88,10304,51,5398,51,4564,43,1008,75,8087,14,1594,47,5312,47,5083,1,9106
139959,University of Georgia,93,91,10399,24,5021,22,4352,22,1024,86,8377,20,5308,31,5269,31,4954,1,10312
140252,Life University,89,76,5477,67,5032,67,4442,33,1179,33,1010,13,3355,87,6568,87,6568,0,
140340,Herzing University-Atlanta,100,94,6564,94,6313,90,5214,81,1483,13,594,6,2448,94,10645,94,10645,0,
140447,Mercer University,100,100,25499,32,5627,32,4284,26,1696,80,4178,99,20551,66,7153,62,6312,16,5286
140553,Morehouse College,97,84,17864,55,6829,54,4547,46,2907,25,2772,65,16199,76,7345,76,6696,3,14972
140720,Paine College,99,93,6604,83,5164,81,4807,40,907,66,1457,22,4142,94,6540,93,6545,0,5600
140951,Savannah College of Art and Design,95,92,11793,26,4882,26,4416,5,2307,16,3119,91,9920,58,9910,58,7813,7,18794
140960,Savannah State University,98,88,7017,81,5438,80,5005,15,2440,26,4806,10,4585,87,6229,87,6084,2,7059
140988,Shorter University,100,100,13579,48,5389,48,4556,45,896,82,3054,98,8595,70,5879,70,5783,1,7538
141060,Spelman College,94,75,10326,51,5726,51,4704,43,1210,24,3620,51,7734,73,7322,72,6150,5,17418
141097,Southern Polytechnic State University,88,75,7167,35,5329,35,4611,31,792,63,5695,1,763,53,5341,53,5137,2,6215
141264,Valdosta State University,90,79,7331,48,5183,48,4454,42,865,58,5406,4,3419,65,5835,65,5747,1,7508
141325,Wesleyan College,98,98,14999,50,5021,50,4087,47,991,58,3088,97,10739,61,5939,61,5799,2,4480
141486,Chaminade University of Honolulu,99,99,10658,47,5264,43,4463,46,1201,4,583,99,8168,83,6418,83,5890,6,7017
141574,University of Hawaii at Manoa,72,59,5951,28,4797,28,4194,18,949,10,1430,50,4071,39,5492,38,5222,1,9171
141644,Hawaii Pacific University,65,65,7587,41,3659,31,4208,10,1926,1,2000,62,5445,51,6706,48,6180,3,15107
142115,Boise State University,88,78,5075,44,4760,44,4154,31,904,52,429,25,6421,57,6540,57,6164,3,8621
142276,Idaho State University,93,88,5011,58,4548,58,4309,20,703,48,393,29,5593,63,6242,62,6079,2,7454
142328,Lewis-Clark State College,96,89,5654,62,4812,62,4449,30,757,41,1138,53,3080,67,5174,67,5040,2,4894
142461,Northwest Nazarene University,99,99,12856,66,3660,46,4006,58,960,36,443,98,10394,75,6658,75,5715,9,8446
142887,American Academy of Art,95,66,6557,58,3828,58,3631,27,422,39,4095,5,11550,92,8924,90,6111,19,14575
143048,School of the Art Institute of Chicago,100,100,11416,25,5016,25,4244,4,5995,9,4615,100,9716,54,8111,54,6110,7,16386
143084,Augustana College,100,100,20776,25,5762,25,4556,24,1260,27,4968,99,18135,76,6707,76,5843,5,12272
143358,Bradley University,98,96,13780,28,5667,28,3934,28,1733,33,4578,95,10624,78,5743,72,5558,5,8279
144005,Chicago State University,98,91,8418,89,5765,88,5306,41,1014,63,3197,6,9396,85,6045,85,6000,1,5013
144050,University of Chicago,70,60,27666,15,6505,15,4265,14,2425,5,4139,60,25753,34,6401,33,4972,2,24752
144281,Columbia College-Chicago,79,62,9165,40,4363,40,4079,6,1764,23,4146,45,6592,73,7501,72,5869,7,17094
144740,DePaul University,91,88,17868,37,5483,37,4202,35,1414,37,4681,88,13618,64,6250,64,5417,4,15485
144759,DeVry University-Illinois,98,92,5801,86,4782,85,4472,23,1293,17,4008,21,2657,93,8473,93,8327,1,10548
145460,Harrington College of Design,87,53,4077,42,3974,42,3600,22,704,0,,18,2857,84,7017,84,6125,4,19333
145497,Hebrew Theological College,62,59,5649,58,5153,58,4668,37,749,8,4615,1,2375,3,4705,3,4705,0,
145600,University of Illinois at Chicago,82,62,13464,51,5127,51,4433,45,789,52,4535,59,5706,45,6201,44,5185,4,13898
145637,University of Illinois at Urbana-Champaign,68,46,11274,22,5489,21,4164,20,1664,27,6338,40,5572,44,6319,44,5193,11,4714
145646,Illinois Wesleyan University,98,97,17668,20,4647,20,3810,18,926,24,4754,97,15690,66,7032,66,5687,17,5452
145725,Illinois Institute of Technology,100,100,25018,30,7380,28,4402,26,3621,23,4589,100,21726,53,6210,53,5406,4,10459
145770,Argosy University-Chicago,85,79,4899,76,3956,76,3936,3,500,30,2717,3,1311,82,7370,82,7370,0,
145813,Illinois State University,72,36,10510,24,4744,24,4025,19,1058,27,5592,31,3688,59,6404,58,5345,5,12422
146010,International Academy of Design and Technology-Chicago,70,61,4782,58,4850,58,4477,29,740,0,,13,899,69,6922,69,6923,0,6667
146339,Judson University,99,99,15083,35,4438,35,3929,33,540,36,4731,99,11785,99,8538,82,7497,17,13625
146393,Kendall College,84,70,6300,47,4390,47,3937,26,805,30,3929,60,2040,75,6957,74,5695,6,16615
146621,Lexington College,100,100,11586,82,5267,82,4394,82,873,45,4248,91,5880,82,7135,73,7152,9,7000
146719,Loyola University-Chicago,96,95,17158,30,5962,29,4418,27,1819,24,4661,95,14157,70,7746,70,6017,8,15307
147129,Methodist College of Nursing,65,39,1890,30,1968,30,1968,0,,4,2484,9,375,48,3004,43,3095,4,2100
147244,Millikin University,100,100,19994,43,4937,43,3947,31,1367,49,4622,99,15641,83,6798,83,5830,9,9132
147369,Moody Bible Institute,69,69,7401,29,3469,29,3469,0,,0,,57,7161,0,,0,,0,
147536,National Louis University,100,100,13598,60,5423,60,4867,50,668,30,4353,90,10043,70,5679,70,5679,0,
147660,North Central College,99,99,17190,26,4743,26,3638,21,1371,32,4683,99,14459,75,6534,75,5582,15,4915
147679,North Park University,98,94,11225,46,5658,46,4275,45,1399,34,4715,93,6904,80,6735,79,6283,4,9761
147767,Northwestern University,67,56,29293,15,7119,15,4109,14,3059,7,4270,56,27129,39,5239,39,4524,2,16769
147776,Northeastern Illinois University,78,66,8016,63,5123,63,4641,41,734,57,3298,7,3069,19,4455,18,4352,1,6083
148177,The Illinois Institute of Art-Chicago,94,77,7133,68,4984,68,4509,36,906,33,3607,55,1620,90,8591,90,7345,7,16245
148405,Rockford College,100,100,14922,55,4359,55,3469,40,1224,55,4293,100,10159,98,6097,98,5538,7,8181
148487,Roosevelt University,95,92,15589,49,4514,49,3894,32,938,38,3919,91,11796,86,6181,80,5790,6,11179
148584,University of St Francis,100,100,17459,35,4953,35,4110,28,1127,40,4622,100,13886,77,5723,77,5521,2,8125
148627,Saint Xavier University,100,100,18308,56,5658,55,4422,51,1420,59,5044,99,12144,81,6460,81,5880,4,10970
148654,University of Illinois at Springfield,98,93,7927,44,4912,43,4161,36,997,46,4994,89,3333,61,5714,60,5313,3,8480
148849,Shimer College,100,100,12938,37,5279,37,4779,37,500,11,4803,95,11070,68,8488,68,6181,5,30000
149329,Telshe Yeshiva-Chicago,82,82,9321,53,3653,53,3222,18,1294,24,4579,82,5664,0,,0,,0,
149639,VanderCook College of Music,100,100,9354,53,4825,50,3685,47,1513,32,5053,100,5164,68,11399,68,8638,12,15875
150066,Anderson University,99,99,13344,41,5545,41,4123,38,1611,31,4706,83,11305,75,12895,75,11834,11,7810
150136,Ball State University,86,60,9293,33,4895,33,4011,30,967,50,3780,42,4974,60,6128,59,5445,5,9524
150145,Bethel College-Mishawaka,100,100,13669,61,5616,59,4627,56,1267,38,4932,97,8613,81,7447,81,5708,14,10026
150163,Butler University,92,90,14806,21,5545,21,3906,20,1693,15,4735,88,13006,63,8456,63,6420,9,14563
150534,University of Evansville,98,98,20121,31,5216,31,3968,30,1304,24,5438,98,17167,66,6632,66,5857,5,11237
150668,Goshen College,96,96,15582,39,4833,37,3475,35,1730,27,4208,96,12489,72,6125,72,4841,12,7530
151102,Indiana University-Purdue University-Fort Wayne,87,63,6772,50,4250,49,3992,22,785,36,3616,18,4444,64,5265,64,4985,3,7650
151111,Indiana University-Purdue University-Indianapolis,83,61,8686,42,5075,42,4287,34,972,33,4432,36,4694,58,5893,58,5548,3,8073
151263,University of Indianapolis,100,100,14863,42,4783,42,3870,41,966,41,5492,100,10579,76,7390,76,5943,10,10786
151290,Indiana Institute of Technology,100,97,12315,64,4410,64,4054,40,571,34,4354,80,9515,97,9517,97,9012,7,6772
151324,Indiana State University,93,81,6880,49,4559,49,3955,42,724,39,4481,54,2835,65,6171,65,5731,4,8050
151333,Indiana University-Kokomo,78,55,7294,46,4992,46,4416,35,750,35,4154,21,1387,46,5483,45,5350,1,7918
151342,Indiana University-South Bend,79,53,7020,46,4809,46,4312,31,746,35,3550,9,2798,53,5597,53,5568,0,4561
151351,Indiana University-Bloomington,72,53,10531,21,5305,21,4250,19,1164,17,5439,47,7526,40,6711,40,5460,4,13563
151360,Indiana University-Northwest,73,53,6263,43,4808,43,4656,15,423,25,3473,13,3187,47,6258,47,6253,0,8000
151786,Marian University,99,99,17634,43,4630,43,3557,43,1124,39,5053,99,13662,88,6868,88,5622,11,9931
151810,Martin University,96,94,4781,94,3843,94,3741,94,102,41,2054,6,883,94,5762,94,5762,0,
152336,University of Saint Francis-Fort Wayne,98,98,13173,47,4477,47,3534,45,989,41,4497,97,9294,96,7345,96,6612,9,8297
152822,AIB College of Business,99,93,9876,52,4597,52,4180,25,866,79,3609,69,5771,97,5363,97,4545,9,8508
152992,Briar Cliff University,99,99,17318,52,5182,52,3783,45,1621,32,3953,99,13289,82,6836,82,5790,14,6172
153126,Clarke University,100,100,15362,41,4818,41,3878,40,1021,35,3700,100,12082,86,7912,86,5534,20,10042
153144,Coe College,100,100,21551,28,5748,26,3766,28,2172,29,4031,99,18882,92,6076,92,5351,15,4469
153269,Drake University,99,99,15880,20,5589,19,3633,19,2099,14,3992,99,14210,63,6851,62,5418,8,11284
153278,University of Dubuque,99,98,11612,52,4950,50,4453,38,869,20,3701,94,8544,95,8162,94,5173,26,11039
153375,Grand View University,100,100,12655,45,4726,45,3870,41,939,56,3776,100,8411,86,7150,86,5745,19,6448
153603,Iowa State University,87,74,7026,24,4951,23,4202,22,1023,2,5794,72,5419,55,6385,55,5407,8,7527
153658,University of Iowa,81,64,7341,18,5019,17,3822,17,1402,3,3807,50,7368,51,5428,51,5425,0,2407
153825,Loras College,100,100,15056,25,4664,24,3563,25,1260,20,3822,100,13134,74,7423,73,5221,27,5957
154004,Morningside College,100,100,15639,43,4935,39,3531,42,1798,40,3819,100,11973,86,7306,86,5945,16,7170
154013,Mount Mercy University,98,98,11418,50,2737,40,3241,11,876,61,3574,98,7761,80,6856,78,5867,9,10320
154095,University of Northern Iowa,91,63,5212,28,4769,25,3780,26,1541,5,3099,59,3061,63,5616,63,5245,4,6491
154174,Palmer College of Chiropractic-Davenport,100,100,5663,100,5663,100,4163,100,1500,0,,0,,50,10373,50,10373,0,
154235,Saint Ambrose University,100,100,13684,30,4674,30,3647,27,1161,18,3516,100,11625,72,7547,72,5474,20,7521
155089,Friends University,99,97,12292,50,4862,49,4154,32,1237,38,3017,89,9378,79,6213,79,6034,2,9467
155317,University of Kansas,74,59,6791,22,4801,22,3975,19,1044,13,1032,57,4953,47,5714,46,5204,4,7640
155335,Newman University,99,99,14472,37,4421,37,3686,28,963,24,3158,99,12063,64,5356,64,5275,2,3385
156082,Washburn University,89,79,4831,47,4706,45,4310,24,1266,13,1318,50,2854,61,5883,61,5822,1,5818
