id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
211893,Curtis Institute of Music,80,45,12076,20,3763,15,4767,5,750,5,700,40,11617,60,3542,30,3833,30,3250
212054,Drexel University,98,97,16081,23,5132,23,3960,16,1694,17,2824,97,14432,67,10483,67,5117,17,21939
212106,Duquesne University,100,100,14569,23,5027,22,3882,21,1368,31,2732,100,12566,76,7865,75,5638,14,11981
212577,Franklin and Marshall College,66,50,29705,13,5706,13,4182,13,1575,8,2547,49,27979,48,5623,41,4732,9,8039
212601,Gannon University,100,99,16769,47,4769,45,4107,37,981,44,2955,99,13325,93,7664,93,6067,13,11753
212984,Holy Family University,99,98,14584,34,4774,34,4122,10,2254,40,2699,97,12005,94,7459,93,5843,29,5265
213321,King's College,100,100,15885,32,5110,31,3901,30,1359,33,2785,100,13340,85,7799,85,6005,13,11478
213367,La Salle University,99,98,20872,35,5397,35,4124,35,1286,27,3117,97,18163,82,7389,82,5769,8,16021
213543,Lehigh University,69,53,27928,19,6302,16,3951,6,9621,7,2581,51,26036,50,6945,50,5165,7,14362
213668,Lycoming College,100,99,21138,39,5127,39,3837,38,1339,39,3002,99,17924,85,7233,84,6296,7,11230
213826,Marywood University,99,99,18496,36,4818,35,3723,27,1500,41,3007,99,15523,82,8995,82,5701,21,12767
213987,Mercyhurst College,100,99,14990,47,4991,47,4502,22,1110,37,3206,96,11775,83,7532,82,6431,8,11830
214148,Moore College of Art and Design,92,92,15202,45,6004,45,4491,38,1797,31,3346,92,11162,68,7760,68,6111,5,23917
214157,Moravian College and Moravian Theological Seminary,98,97,17130,33,5183,33,4145,33,1046,33,2678,97,14467,84,7809,84,5736,14,12914
214175,Muhlenberg College,84,82,17064,8,6512,8,3544,7,3413,6,2488,79,16734,47,10303,46,5365,12,19926
