id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,size_category,control,degree_urbanization,state
146393,Kendall College,6300,6957,37874,1-000 - 4-999,Private for-profit,Large,Illinois
146621,Lexington College,11586,7135,36500,Under 1-000,Private not-for-profit,Large,Illinois
146719,Loyola University-Chicago,17158,7746,47664,10-000 - 19-999,Private not-for-profit,Large,Illinois
147129,Methodist College of Nursing,1890,3004,23180,Under 1-000,Private not-for-profit,Midsize,Illinois
147244,Millikin University,19994,6798,40242,1-000 - 4-999,Private not-for-profit,Small,Illinois
147369,Moody Bible Institute,7401,,19227.33333,1-000 - 4-999,Private not-for-profit,Large,Illinois
147536,National Louis University,13598,5679,33790,5-000 - 9-999,Private not-for-profit,Large,Illinois
147660,North Central College,17190,6534,40172,1-000 - 4-999,Private not-for-profit,Midsize,Illinois
147679,North Park University,11225,6735,31970,1-000 - 4-999,Private not-for-profit,Large,Illinois
147767,Northwestern University,29293,5239,58829,20-000 and above,Private not-for-profit,Small,Illinois
147776,Northeastern Illinois University,8016,4455,25304,10-000 - 19-999,Public,Large,Illinois
148177,The Illinois Institute of Art-Chicago,7133,8591,32049,1-000 - 4-999,Private for-profit,Large,Illinois
148405,Rockford College,14922,6097,35486.66667,1-000 - 4-999,Private not-for-profit,Midsize,Illinois
148487,Roosevelt University,15589,6181,38500,5-000 - 9-999,Private not-for-profit,Large,Illinois
148584,University of St Francis,17459,5723,35588,1-000 - 4-999,Private not-for-profit,Midsize,Illinois
148627,Saint Xavier University,18308,6460,35650,1-000 - 4-999,Private not-for-profit,Large,Illinois
148654,University of Illinois at Springfield,7927,5714,23791,5-000 - 9-999,Public,Midsize,Illinois
148849,Shimer College,12938,8488,38900,Under 1-000,Private not-for-profit,Large,Illinois
149329,Telshe Yeshiva-Chicago,9321,,20730,Under 1-000,Private not-for-profit,Large,Illinois
149639,VanderCook College of Music,9354,11399,33714,Under 1-000,Private not-for-profit,Large,Illinois
150066,Anderson University,13344,12895,33196.66667,1-000 - 4-999,Private not-for-profit,Small,Indiana
150136,Ball State University,9293,6128,23050,20-000 and above,Public,Small,Indiana
